Group,Response,Percentage
Retention Hard Barriers,It is hard to find what I want to listen to,25%
Retention Hard Barriers,I can’t choose the songs I want on shuffle mode,23%
Retention Hard Barriers,I will use a different music service,15%
Retention Hard Barriers,It doesn’t have the music I want to listen to,13%
Retention Hard Barriers,I do not like the ads on the free version,10%
Retention Hard Barriers,I do not like the music recommendations,10%
Retention Hard Barriers,A Premium subscription is too expensive,8%
Retention Hard Barriers,The app uses too much mobile data,8%
Retention Hard Barriers,I can’t download music to have offline (without using data),3%
Retention Hard Barriers,I may not listen to any music or podcasts next week,3%
Retention Hard Barriers,"It does not work well on many devices (voice speakers, in the car, gaming systems, etc.)",3%
Retention Hard Barriers,It doesn’t have a good selection of local music,3%
Retention Hard Barriers,None of these,3%
Retention Hard Barriers,"Other, please specify",40%
Retention Soft Barriers,I may not listen to any music or podcasts next week,23%
Retention Soft Barriers,I can’t choose the songs I want on shuffle mode,15%
Retention Soft Barriers,I do not like the ads on the free version,13%
Retention Soft Barriers,A Premium subscription is too expensive,12%
Retention Soft Barriers,It is hard to find what I want to listen to,10%
Retention Soft Barriers,I will use a different music service,8%
Retention Soft Barriers,I do not like the music recommendations,7%
Retention Soft Barriers,The app uses too much mobile data,5%
Retention Soft Barriers,None of these,5%
Retention Soft Barriers,"It does not work well on many devices (voice speakers, in the car, gaming systems, etc.)",4%
Retention Soft Barriers,I can’t download music to have offline (without using data),3%
Retention Soft Barriers,It doesn’t have the music I want to listen to,3%
Retention Soft Barriers,It doesn’t have a good selection of local music,2%
Retention Soft Barriers,"Other, please specify",26%
Retention Drivers,I like that there is a free version,41%
Retention Drivers,It has all the music I want,36%
Retention Drivers,I can listen to any song I want at any time,35%
Retention Drivers,It is easy to use,34%
Retention Drivers,It is fast and works well,32%
Retention Drivers,I like the pre-made playlists,24%
Retention Drivers,It makes great music recommendations,22%
Retention Drivers,"It works well with many devices (voice speakers, in the car, gaming systems, etc.)",16%
Retention Drivers,It doesn’t use up my mobile data,12%
Retention Drivers,I like the podcasts,6%
Retention Drivers,I like that there are no ads on the Premium version,4%
Retention Drivers,"Other, please specify",4%
Retention Drivers,None of these,1%
Acquisition Drivers,"To listen to music for free, without paying",26%
Acquisition Drivers,Just to check it out / I was curious,23%
Acquisition Drivers,To build my own playlists,19%
Acquisition Drivers,To have access to a lot of music in one place,19%
Acquisition Drivers,"I wanted to listen while doing something else (e.g., exercise, driving, etc.)",19%
Acquisition Drivers,"To listen to a specific album, artist, or song",18%
Acquisition Drivers,To listen to any song I want at any time (on-demand),16%
Acquisition Drivers,I wanted to listen to a specific genre or type of music,14%
Acquisition Drivers,To discover new music,12%
Acquisition Drivers,To listen to a specific playlist,10%
Acquisition Drivers,To listen to music offline (without using mobile data),9%
Acquisition Drivers,To listen to music and podcasts in one place,7%
Acquisition Drivers,To listen to music without ads,7%
Acquisition Drivers,"Other, please specify",5%
Acquisition Drivers,To listen to a specific podcast,3%
Acquisition Drivers,Not sure,1%
Acquisition Channels,A friend,30%
Acquisition Channels,A family member,26%
Acquisition Channels,The mobile app store,6%
Acquisition Channels,"Social media (e.g., Instagram, Snapchat, Facebook, etc.)",6%
Acquisition Channels,An ad on a website or app,5%
Acquisition Channels,A coworker,5%
Acquisition Channels,A Google search / internet search,4%
Acquisition Channels,"A celebrity, musician or band",3%
Acquisition Channels,A video on YouTube,2%
Acquisition Channels,An ad on TV,1%
Acquisition Channels,An ad on the radio,1%
Acquisition Channels,"Other, please specify",9%
Acquisition Channels,Not sure,3%